iteration,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
0,"{'num_layers': 3, 'units_per_layer': 85, 'activation': 3, 'learning_rate': 0.0022930101210299723, 'batch_size': 256, 'dropout_rate': 0.4395283994936362, 'l2_reg_strength': 6.972397544817958e-07}",bayesian,1.8275537904103596,1.7246234560012816,33.3,39.6,12.41431736946106,12.41431736946106
1,"{'num_layers': 1, 'units_per_layer': 94, 'activation': 2, 'learning_rate': 0.15775293993783848, 'batch_size': 32, 'dropout_rate': 0.3740584794401705, 'l2_reg_strength': 0.0004562936014597884}",bayesian,0.22879859693845114,0.32508243799209596,93.1,90.2,12.451561212539673,24.865878582000732
2,"{'num_layers': 2, 'units_per_layer': 36, 'activation': 1, 'learning_rate': 0.15064220964553032, 'batch_size': 256, 'dropout_rate': 0.22189865193048341, 'l2_reg_strength': 0.0016366409120728152}",bayesian,0.7515060181617736,0.5892389898300171,75.83333333333333,82.6,9.607756614685059,34.47363519668579
3,"{'num_layers': 4, 'units_per_layer': 54, 'activation': 3, 'learning_rate': 0.00012904404589205134, 'batch_size': 256, 'dropout_rate': 0.311699708391874, 'l2_reg_strength': 2.2201261593164272e-06}",bayesian,2.1911573117574057,2.131607204437256,18.033333333333335,18.6,10.766605615615845,45.240240812301636
4,"{'num_layers': 4, 'units_per_layer': 119, 'activation': 3, 'learning_rate': 0.022992694532531943, 'batch_size': 256, 'dropout_rate': 0.34692511644742924, 'l2_reg_strength': 0.0094247882966596}",bayesian,1.6931202189127603,1.6475543746948242,35.833333333333336,36.8,12.633119821548462,57.8733606338501
5,"{'num_layers': 3, 'units_per_layer': 7, 'activation': 1, 'learning_rate': 0.0004895249218602289, 'batch_size': 32, 'dropout_rate': 0.2842988845322148, 'l2_reg_strength': 0.0042922569863170935}",bayesian,1.9791615441640218,1.8402901830673217,22.833333333333332,32.2,12.744348526000977,70.61770915985107
6,"{'num_layers': 4, 'units_per_layer': 101, 'activation': 1, 'learning_rate': 0.0017440082088389986, 'batch_size': 32, 'dropout_rate': 0.18379963435039143, 'l2_reg_strength': 5.207729167584868e-07}",bayesian,0.34353871222337085,0.3681966881752014,88.73333333333333,89.0,14.046854019165039,84.66456317901611
7,"{'num_layers': 2, 'units_per_layer': 22, 'activation': 3, 'learning_rate': 0.0035282001975133967, 'batch_size': 64, 'dropout_rate': 0.3851685614968453, 'l2_reg_strength': 3.887342434142743e-05}",bayesian,1.6805280030568441,1.554762228012085,46.13333333333333,63.0,10.077849626541138,94.74241280555725
8,"{'num_layers': 3, 'units_per_layer': 102, 'activation': 2, 'learning_rate': 0.13489439082932192, 'batch_size': 16, 'dropout_rate': 0.21969728353069762, 'l2_reg_strength': 0.0003546914306433832}",bayesian,0.2967686999688546,0.4154883545935154,90.63333333333334,88.0,16.623918533325195,111.36633133888245
9,"{'num_layers': 2, 'units_per_layer': 61, 'activation': 1, 'learning_rate': 0.03216956972355106, 'batch_size': 256, 'dropout_rate': 0.5910955853115469, 'l2_reg_strength': 4.180991680355121e-05}",bayesian,1.2766869592666625,0.943127522945404,54.4,71.0,10.237305641174316,121.60363698005676
10,"{'num_layers': 1, 'units_per_layer': 101, 'activation': 3, 'learning_rate': 0.005405909749015331, 'batch_size': 16, 'dropout_rate': 0.3973647483257208, 'l2_reg_strength': 1.2878780926865768e-05}",bayesian,0.27431052953004836,0.3314444515705109,92.4,91.0,14.907933712005615,136.51157069206238
11,"{'num_layers': 4, 'units_per_layer': 94, 'activation': 2, 'learning_rate': 0.000675929520588754, 'batch_size': 32, 'dropout_rate': 0.13360334046999384, 'l2_reg_strength': 8.286721746017967e-07}",bayesian,0.22517780991395314,0.3128543782234192,92.86666666666666,91.2,14.23536491394043,150.7469356060028
12,"{'num_layers': 1, 'units_per_layer': 101, 'activation': 1, 'learning_rate': 0.0006804794514775778, 'batch_size': 16, 'dropout_rate': 0.5762711525286767, 'l2_reg_strength': 0.00047663802996288107}",bayesian,0.5249984947244326,0.38208810353279116,83.0,88.4,15.584135293960571,166.33107089996338
13,"{'num_layers': 3, 'units_per_layer': 95, 'activation': 2, 'learning_rate': 0.019809876012491637, 'batch_size': 32, 'dropout_rate': 0.592203895308917, 'l2_reg_strength': 0.0034371835775280912}",bayesian,0.6592363348007202,0.4761046607494354,79.96666666666667,86.0,13.370696306228638,179.70176720619202
14,"{'num_layers': 1, 'units_per_layer': 93, 'activation': 1, 'learning_rate': 0.0021734491055215265, 'batch_size': 32, 'dropout_rate': 0.32571611988259297, 'l2_reg_strength': 1.7504141296468405e-07}",bayesian,0.29290023521582287,0.33185105776786805,90.86666666666666,89.6,12.573895692825317,192.27566289901733
15,"{'num_layers': 2, 'units_per_layer': 93, 'activation': 3, 'learning_rate': 0.00010260511659263446, 'batch_size': 32, 'dropout_rate': 0.2992041683615425, 'l2_reg_strength': 0.004550391500125298}",bayesian,0.3640686702330907,0.41510165882110595,90.23333333333333,89.8,12.934592962265015,205.21025586128235
16,"{'num_layers': 1, 'units_per_layer': 99, 'activation': 2, 'learning_rate': 0.11874184136797421, 'batch_size': 16, 'dropout_rate': 0.10720665217100232, 'l2_reg_strength': 1.09613893031645e-05}",bayesian,0.15155744302272797,0.2973311612010002,95.56666666666666,91.2,14.446358919143677,219.65661478042603
17,"{'num_layers': 2, 'units_per_layer': 100, 'activation': 3, 'learning_rate': 0.12814868229317875, 'batch_size': 16, 'dropout_rate': 0.25781984421668613, 'l2_reg_strength': 5.914574627648036e-07}",bayesian,0.2753484436273575,0.3401335297822952,91.96666666666667,90.2,14.965506315231323,234.62212109565735
18,"{'num_layers': 2, 'units_per_layer': 9, 'activation': 3, 'learning_rate': 0.0013393045272732953, 'batch_size': 64, 'dropout_rate': 0.24513745670957898, 'l2_reg_strength': 6.777883211556094e-06}",bayesian,2.0348284041086835,2.002985280990601,30.233333333333334,38.6,11.016443490982056,245.6385645866394
19,"{'num_layers': 3, 'units_per_layer': 86, 'activation': 3, 'learning_rate': 0.00014467890718661763, 'batch_size': 128, 'dropout_rate': 0.10030732366871789, 'l2_reg_strength': 2.1055373586946334e-07}",bayesian,0.9083861010869344,0.9401780443191529,72.06666666666666,71.2,9.57568073272705,255.21424531936646
20,"{'num_layers': 2, 'units_per_layer': 99, 'activation': 2, 'learning_rate': 0.0030452177327727928, 'batch_size': 32, 'dropout_rate': 0.08753126077522087, 'l2_reg_strength': 6.217675697149027e-05}",bayesian,0.11880241806805134,0.3827934248447418,96.46666666666667,89.6,13.184394359588623,268.3986396789551
21,"{'num_layers': 1, 'units_per_layer': 100, 'activation': 3, 'learning_rate': 0.2984530109587471, 'batch_size': 32, 'dropout_rate': 0.1963165002838977, 'l2_reg_strength': 0.0026750387051330325}",bayesian,0.25949852589766187,0.3531719379425049,93.66666666666667,89.8,12.576608657836914,280.975248336792
22,"{'num_layers': 3, 'units_per_layer': 101, 'activation': 3, 'learning_rate': 0.00010566744384230132, 'batch_size': 32, 'dropout_rate': 0.35319809841818983, 'l2_reg_strength': 0.0057211842986636015}",bayesian,0.6137987360954285,0.6259253568649292,82.9,82.8,13.456629753112793,294.4318780899048
23,"{'num_layers': 3, 'units_per_layer': 107, 'activation': 1, 'learning_rate': 0.001030319791914919, 'batch_size': 128, 'dropout_rate': 0.37237754059526657, 'l2_reg_strength': 0.001152120434770017}",bayesian,0.47434382009506226,0.39825499439239503,84.96666666666667,87.4,11.39970850944519,305.83158659935
