iteration,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
0,"{'num_layers': 2, 'units_per_layer': 74, 'activation': 1, 'learning_rate': 0.0023718332382073872, 'batch_size': 16, 'dropout_rate': 0.09674840679936457, 'l2_reg_strength': 0.000655433199122091}",bayesian,0.21796951260169348,0.3264729227423668,92.63333333333334,90.2,19.78428888320923,19.78428888320923
1,"{'num_layers': 3, 'units_per_layer': 62, 'activation': 2, 'learning_rate': 0.013640001932143346, 'batch_size': 256, 'dropout_rate': 0.35136289203434895, 'l2_reg_strength': 0.003118870602856598}",bayesian,0.48777054675420123,0.44585724115371705,86.7,88.4,9.906186819076538,29.690475702285767
2,"{'num_layers': 1, 'units_per_layer': 32, 'activation': 2, 'learning_rate': 0.19654422009732744, 'batch_size': 16, 'dropout_rate': 0.0989574072585117, 'l2_reg_strength': 5.388079920922633e-05}",bayesian,0.1899680592318376,0.33765882152318955,94.86666666666666,89.8,13.586731910705566,43.27720761299133
3,"{'num_layers': 1, 'units_per_layer': 7, 'activation': 1, 'learning_rate': 0.003548281767099023, 'batch_size': 32, 'dropout_rate': 0.07301600647485484, 'l2_reg_strength': 3.264945843579482e-05}",bayesian,0.9113366150856018,0.8970009660720826,70.23333333333333,70.4,12.228618144989014,55.50582575798035
4,"{'num_layers': 3, 'units_per_layer': 61, 'activation': 1, 'learning_rate': 0.0011471713382551442, 'batch_size': 128, 'dropout_rate': 0.19650026315043095, 'l2_reg_strength': 0.0007698373745201793}",bayesian,0.46648963141441346,0.42686149311065674,86.33333333333333,87.4,10.027734756469727,65.53356051445007
5,"{'num_layers': 1, 'units_per_layer': 82, 'activation': 1, 'learning_rate': 0.00013862222801701497, 'batch_size': 64, 'dropout_rate': 0.1861198540372374, 'l2_reg_strength': 0.00016030632232699865}",bayesian,0.27168268740177154,0.3464281175136566,92.36666666666666,90.0,10.837882280349731,76.3714427947998
6,"{'num_layers': 1, 'units_per_layer': 35, 'activation': 1, 'learning_rate': 0.0005417418173771098, 'batch_size': 256, 'dropout_rate': 0.2744907192017548, 'l2_reg_strength': 0.0005027411138246744}",bayesian,0.5952696359952291,0.529183584690094,83.0,85.6,9.455324649810791,85.8267674446106
7,"{'num_layers': 1, 'units_per_layer': 115, 'activation': 1, 'learning_rate': 0.005131781673880823, 'batch_size': 16, 'dropout_rate': 0.34467102532283855, 'l2_reg_strength': 3.772641477726009e-07}",bayesian,0.2890578303734461,0.32524241185188296,91.1,90.2,16.14376425743103,101.97053170204163
8,"{'num_layers': 3, 'units_per_layer': 77, 'activation': 2, 'learning_rate': 0.21393202040524265, 'batch_size': 64, 'dropout_rate': 0.5166777062226217, 'l2_reg_strength': 9.453930900413989e-05}",bayesian,0.5745599987506866,0.4521150531768799,82.53333333333333,87.0,9.969273328781128,111.93980503082275
9,"{'num_layers': 4, 'units_per_layer': 50, 'activation': 1, 'learning_rate': 0.006978717692942371, 'batch_size': 128, 'dropout_rate': 0.0593040135119152, 'l2_reg_strength': 1.9181493546839575e-07}",bayesian,0.39832263930638634,0.49143647599220275,87.3,84.2,11.70674729347229,123.64655232429504
